QKEY,INTERVIEW_START_W119,INTERVIEW_END_W119,DEVICE_TYPE_W119,LANG_W119,FORM_W119,DESRISK_COMF_W119,DESRISK_CREAT_W119,DESRISK_NTECH_W119,RISK2_W119,AI_HEARD_W119,CNCEXC_W119,USEAI_W119,AIKNOW1_W119,AIKNOW2_W119,AIKNOW3_W119,AIKNOW5_W119,AIKNOW6_W119,AIKNOW7_W119,AIKNOW1_CORRECT_W119,AIKNOW2_CORRECT_W119,AIKNOW3_CORRECT_W119,AIKNOW5_CORRECT_W119,AIKNOW6_CORRECT_W119,AIKNOW7_CORRECT_W119,AIKNOW_INDEX_W119,AIHCCOMF_W119,AIHCTRT1_W119,AIHCTRT2_W119,MEDBIAS_W119,AIHCCHG_QUAL_W119,AIHCCHG_MIST_W119,AIHCCHG_REL_W119,AIHCCHG_RACETHN_W119,AIHCCHG_SECUR_W119,HCMEDBIAS_W119,BIASBETR_OE1_W119,BIASBETR_OE2_W119,BIASBETR_OE3_W119,BIASBETR_REFUSED_W119,BIASWORS_OE1_W119,BIASWORS_OE2_W119,BIASWORS_OE3_W119,BIASWORS_REFUSED_W119,BIASSAME_OE1_W119,BIASSAME_OE2_W119,BIASSAME_OE3_W119,BIASSAME_REFUSED_W119,SCDETECT1_W119,SCDETECT2_W119,SCDETECT3_W119,SCDETECT4_W119,AIMH1_W119,AIMH2_W119,AIMH3_W119,AIMH5_W119,AIPAIN1_W119,AIPAIN2_W119,AIPAIN3_W119,AIPAIN4_W119,SROBOT1_W119,SROBOT2_W119,SROBOT3_W119,AIPROT1_W119,AIPROT2_W119,AICROP1_W119,AICROP2_W119,AIEXT1_W119,AIEXT2_W119,AINEWS1_W119,AINEWS2_W119,AIIMAG1_W119,AIIMAG2_W119,EMPLSIT_W119,JOBAPPYR_W119,INDUSTRYCOMBO_W119,AIWRK2_a_W119,AIWRK2_b_W119,AIWRK2_c_W119,AIWRK3_a_W119,AIWRK3_b_W119,AIWRK3_c_W119,AIWRKH1_W119,AIWRKH2_a_W119,AIWRKH2_b_W119,AIWRKH3_a_W119,AIWRKH3_b_W119,AIWRKH3_c_W119,AIWRKH3_d_W119,AIWRKH4_W119,AIWRKH5Y_OE1_W119,AIWRKH5Y_OE2_W119,AIWRKH5Y_OE3_W119,AIWRKH5Y_REFUSED_W119,AIWRKH5N_OE1_W119,AIWRKH5N_OE2_W119,AIWRKH5N_OE3_W119,AIWRKH5N_REFUSED_W119,HIREBIAS1_W119,HIREBIAS2_W119,AIWRKM1_W119,AIWRKM2_a_W119,AIWRKM2_b_W119,AIWRKM2_c_W119,AIWRKM2_d_W119,AIWRKM2_e_W119,AIWRKM2_f_W119,AIWRKM3_a_W119,AIWRKM3_b_W119,AIWRKM3_c_W119,AIWRKM3_d_W119,AIWRKM3_e_W119,AIWRKM3_f_W119,AIWRKM4_a_W119,AIWRKM4_b_W119,EVALBIAS1_W119,EVALBIAS2_W119,FACERECWK1_W119,FACERECWK2_a_W119,FACERECWK2_b_W119,FACERECWK2_c_W119,FACERECWK3_a_W119,FACERECWK3_b_W119,FACERECWK3_c_W119,TWITTER1_MOD_W119,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W119
103379,12/14/2022 14:12:23,12/14/2022 14:40:25,1,1,1,2,2,3,1,3,2,5,2,3,9,2,3,9,0,0,0,0,1,0,1,99,3,1,3,3,3,2,3,2,3, , , ,0, , , ,0, , , ,0,3,1,2,3,3,9,4,3, , , , , , , ,3,9,3,9, , ,3,9, , ,2,2,3,2,3,2,9,3,1,3,2,2,3,3,3,3,2, , , ,0,1, , ,1,3, ,3,2,2,1,1,1,1,4,1,1,2,4,1,2,2,3, ,2,1,9,1,3,2,2,2,1,3,5,2,4,1,2,3,2, ,1,1,1,1,1,1,1,1,1,2,1, ,1,1,1,9,2,5,2,3,0.8482520205307037
103519,12/14/2022 10:15:15,12/14/2022 10:38:31,2,1,1,4,2,3,2,2,3,2,1,2,3,1,3,2,1,1,1,1,1,1,6,1,1,2,2,1,1,3,1,3,2, , , ,0, , , ,0, , , ,0,3,1,1,1,3,9,3,1, , , , , , , ,3,1,3,1, , ,1,3, , ,5,2, ,1,1,1,2,1,1,3,1,2,1,1,1,1,1,1, , ,1, , , ,0,2,1,3,2,9,2,1,9,9,1,9,9,9,9,2,1,1,2,2,2,1,2,9,3,9,9,2,1,2,3,2,4,1,1,6,2, ,1,1,1,1,1,1,10, ,3,6,3,2,2,3,1,9,3,1,1,3,0.15748280130847653
103538,12/13/2022 19:10:10,12/13/2022 19:33:10,1,1,1,4,2,3,2,2,2,4,1,2,3,1,3,2,1,1,1,1,1,1,6,4,2,1,1,2,2,2,2,2,4, , , ,0, , , ,0, , , ,0,3,9,4,2,3,9,4,3, , , , , , , ,3,9,2,1, , ,2,3, , ,5,2, ,1,2,1,2,9,3,2,2,2,3,1,3,9,2, , , ,0,98, , ,1,2,3,3,1,1,2,1,1,2,9,2,3,2,2,2,2,2,2,3,2,2,2,2,2,9,2,2,1,4,8,3,4,1,1,5,2, ,1,1,1,1,1,1,2,2,2,5,3,2,2,3,1,9,3,2,2,3,0.29097106324872685
103611,12/15/2022 11:55:17,12/15/2022 12:12:55,2,1,1,3,2,2,2,3,3,5,1,9,3,9,9,2,1,0,1,0,0,1,3,4,2,1,3,2,3,2,3,2,3, , , ,0, , , ,0, , , ,0,3,3,4,2,3,3,4,3, , , , , , , ,3,9,3,9, , ,3,3, , ,5,2, ,9,3,9,3,9,9,3,2,2,2,9,2,2,2, , , ,0,1, , ,1,3, ,3,2,9,2,9,9,1,9,2,3,9,3,1,2,2,3, ,3,2,2,2,2,9,2,2,1,1,2,1,4,2,1,6,2, ,1,1,1,1,1,6,2,2,2,2,3,2,2,3,1,1,3,2,1,2,0.24940423313011306
103677,12/13/2022 19:34:28,12/13/2022 19:48:53,2,1,2,5,1,1,2,1,2,1,1,2,3,1,3,2,1,1,1,1,1,1,6,3,3,1,3,3,3,2,3,2,3, , , ,0, , , ,0,10,15, ,1, , , , , , , , ,3,2,4,2,2,1,1, , , , ,2,1, , ,3,9,3,1, ,1,2,1,3,1,2,3,2,2,1,3,2,2,1,10, , ,1, , , ,0,3, ,3,2,2,2,1,2,1,3,2,2,3,2,1,1,1,3, ,1,1,2,1,4,1,2,1,1,1,2,2,3,1,2,3,2, ,1,1,1,1,1,1,2,2,2,5,1, ,1,1,1,9,1,1,1,3,0.56068729069158
103956,12/17/2022 13:06:32,12/17/2022 13:28:56,1,1,2,3,2,2,2,2,2,2,1,2,2,1,3,2,1,1,0,1,1,1,5,3,2,1,1,2,3,2,1,2,2,10, , ,1, , , ,0, , , ,0, , , , , , , , ,3,9,3,2,2,2,2, , , , ,1,1, , ,2,2,5,2, ,1,3,1,3,9,2,2,1,2,3,1,3,1,1,1, , ,1, , , ,0,1,2,3,2,1,2,1,1,1,3,9,2,2,2,2,1,1,2,2,3,1,2,9,9,2,2,2,1,2,3,1,4,2,1,5,2, ,1,1,1,1,1,5,11, ,4,5,2, ,2,4,1,2,4,2,2,2,0.35136246612879046
104210,12/15/2022 11:09:11,12/15/2022 12:01:06,2,1,1,4,3,3,2,2,2,4,1,3,3,9,3,9,1,0,1,0,1,0,3,4,2,1,1,3,2,2,3,2,3, , , ,0, , , ,0, , , ,0,3,9,4,3,3,3,4,3, , , , , , , ,3,9,2,9, , ,1,3, , ,1,2,1,1,2,3,3,9,2,3,2,2,2,2,2,2,2, , , ,0,1,4, ,1,1,4,2,2,2,2,1,2,2,4,1,3,9,4,1,2,2,1,3,2,2,2,2,9,2,1,2,1,1,2,1,2,2,3,2,2, ,1,1,1,1,1,2,12, ,3,6,4,2,2,4,1,2,5,2,2,1,0.9689856961977206
104368,12/13/2022 20:14:03,12/13/2022 21:32:57,1,1,2,2,1,4,2,1,3,2,1,2,3,1,3,2,1,1,1,1,1,1,6,3,3,1,2,3,3,3,3,3,3, , , ,0, , , ,0,90, , ,1, , , , , , , , ,3,2,3,3,3,2,3, , , , ,2,2, , ,3,9,5,2, ,1,2,1,3,1,1,2,1,2,3,1,2,2,1,1, , ,1, , , ,0,2,2,2,9,9,9,9,1,1,3,2,3,3,3,1,1,1,2,3,2,1,2,2,9,2,2,2,1,3,7,2,4,1,3,2,2, ,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,3,2,1,1,1.1317800368367954
104491,12/14/2022 11:41:31,12/14/2022 11:54:33,1,1,1,4,2,4,1,3,3,5,9,2,9,9,9,9,0,1,0,0,0,0,1,4,1,1,2,3,3,3,3,3,2, , , ,0, , , ,0, , , ,0,3,9,2,3,3,9,3,1, , , , , , , ,2,9,3,9, , ,2,9, , ,5,2, ,9,3,9,9,9,9,3,9,9,9,9,9,9,2, , , ,0,98, , ,1,2,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,3,3,9,9,9,9,9,9,2,1,4,9,2,4,2,2,3,2, ,4,1,1,1,4,5,9, ,3,6,2, ,2,4,1,2,4,3,2,2,0.5242275354100272
104689,12/13/2022 15:45:00,12/13/2022 15:56:24,2,1,1,3,3,3,1,3,3,5,9,9,9,9,9,9,0,0,0,0,0,0,0,4,3,1,3,3,3,3,3,3,3, , , ,0, , , ,0, , , ,0,3,9,4,3,3,9,4,3, , , , , , , ,3,9,3,9, , ,3,9, , ,5,2, ,9,9,9,9,9,9,3,9,9,9,9,9,9,2, , , ,0,8, , ,1,3, ,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3, ,3,9,9,9,9,9,9,2,2,2,3,3,4,2,3,2,2, ,1,1,1,1,1,5,1,1,1,2,2, ,2,3,1,2,3,2,1,1,0.5027045331124904
104727,12/13/2022 19:07:00,12/13/2022 19:20:45,1,1,2,2,1,2,1,2,3,5,1,1,3,4,1,1,1,0,1,0,0,0,2,4,2,1,3,2,2,2,2,2,3, , , ,0, , , ,0,99, , ,99, , , , , , , , ,3,1,4,3,2,1,1, , , , ,3,9, , ,2,2,1,2,3,1,1,1,9,9,9,3,2,2,9,2,9,2,2, , , ,0,99, , ,99,2,3,3,2,2,2,2,2,2,1,2,4,9,4,1,2,2,2,4,2,1,9,9,9,2,2,2,2,2,3,3,3,1,3,2,2, ,1,1,1,1,1,1,12, ,3,6,1, ,1,1,1,99,2,2,2,99,1.1172201014820207
105124,12/13/2022 18:11:26,12/14/2022 11:11:46,1,1,2,4,2,3,1,1,2,2,1,2,3,1,3,2,1,1,1,1,1,1,6,3,1,1,2,1,2,3,2,2,4, , , ,0,80, , ,1, , , ,0, , , , , , , , ,3,9,3,2,2,1,4, , , , ,2,9, , ,2,9,1,2,8,1,9,1,2,9,2,1,1,2,1,1,2,2,1,98, , ,1, , , ,0,2,4,2,2,2,2,1,1,9,3,2,2,3,9,1,9,9,2,4,2,9,2,2,2,4,2,1,1,3,5,2,4,1,1,6,2, ,1,1,1,1,1,1,2,1,2,2,1, ,1,1,1,9,2,2,1,3,0.23289178511596012
105205,12/13/2022 20:21:57,12/13/2022 21:17:13,1,1,2,3,3,3,2,2,1,5,9,9,9,9,9,9,0,0,0,0,0,0,0,4,3,1,3,2,2,3,3,2,3, , , ,0, , , ,0,10, , ,1, , , , , , , , ,3,2,3,3,2,9,3, , , , ,3,9, , ,3,2,5,2, ,1,2,1,3,9,2,3,2,2,3,1,3,3,2, , , ,0,1, , ,1,3, ,3,1,1,2,9,1,9,2,9,2,9,2,2,2,2,3, ,3,1,2,1,9,9,9,2,1,2,3,2,3,2,2,4,2, ,1,1,1,1,1,1,2,2,2,1,1, ,1,1,1,9,1,2,1,3,0.37492877399026
105269,12/14/2022 00:22:10,12/14/2022 00:45:06,2,1,2,4,3,2,2,2,3,3,1,2,3,1,3,1,1,1,1,1,1,0,5,2,1,2,2,1,3,1,3,3,2,10, , ,1, , , ,0, , , ,0, , , , , , , , ,3,9,3,2,2,1,3, , , , ,2,1, , ,3,2,1,1,11,1,2,1,3,2,2,2,1,2,1,1,2,2,2, , , ,0,1, , ,1,2,2,3,2,2,2,2,2,2,2,1,3,9,4,1,2,2,2,2,2,1,2,2,3,2,1,1,1,2,4,2,4,1,1,6,2, ,1,1,1,1,1,1,2,2,2,3,3,2,2,3,1,7,3,2,2,2,0.30060524274248257
106180,12/13/2022 19:19:37,12/13/2022 19:36:17,1,1,1,3,2,4,2,2,2,2,1,2,3,1,3,2,1,1,1,1,1,1,6,2,2,1,2,2,2,2,3,2,3, , , ,0, , , ,0, , , ,0,3,3,4,3,3,3,4,3, , , , , , , ,3,3,3,3, , ,3,3, , ,2,2,7,1,3,9,3,3,3,2,2,2,2,2,2,2,2, , , ,0,1, , ,1,1,3,3,2,2,2,2,2,2,3,1,4,4,4,1,2,2,3, ,3,2,2,2,9,4,1,2,1,3,7,3,3,1,2,4,2, ,1,1,1,1,1,1,1,1,1,2,1, ,1,1,1,9,1,2,1,2,0.4624051238469683
106444,12/13/2022 15:45:12,12/13/2022 16:01:56,2,1,2,4,3,4,1,1,2,5,9,9,9,9,9,9,0,0,0,0,0,0,0,3,2,1,1,3,3,3,1,3,2,20,96, ,1, , , ,0, , , ,0, , , , , , , , ,3,9,4,2,3,2,2, , , , ,3,2, , ,2,3,5,2, ,1,3,2,3,9,2,3,9,9,3,1,9,2,1,3, , ,1, , , ,0,1,2,3,2,2,2,1,9,9,4,1,2,9,9,1,9,9,1,2,2,9,2,2,2,1,1,2,1,1,1,2,4,2,1,5,2, ,1,1,1,1,1,1,2,2,2,6,2, ,2,4,1,9,4,2,2,3,0.5294481263916643
106590,12/13/2022 16:46:27,12/15/2022 11:39:38,2,1,2,4,2,2,1,2,2,5,1,2,3,1,3,2,1,1,1,1,1,1,6,2,1,2,2,1,1,2,1,3,2,20, , ,1, , , ,0, , , ,0, , , , , , , , ,3,1,3,3,2,1,1, , , , ,3,1, , ,3,9,1,2,5,1,2,9,3,9,2,3,2,2,2,2,2,2,2, , , ,0,4, , ,1,2,4,3,2,2,2,1,2,2,1,1,9,4,4,1,2,2,3, ,2,2,2,2,3,2,1,2,1,4,9,2,3,2,1,6,2, ,1,1,1,1,1,1,12, ,3,5,3,1,1,2,1,9,3,2,1,2,0.4068285016655906
106885,12/13/2022 17:00:22,12/13/2022 17:33:38,2,1,1,2,2,3,1,2,2,3,2,1,3,1,1,3,0,0,1,1,0,0,2,2,2,1,2,2,2,2,3,2,3, , , ,0, , , ,0, , , ,0,2,1,1,1,2,1,3,99, , , , , , , ,2,1,1,1, , ,3,2, , ,3,2, ,1,1,1,3,3,3,2,2,2,1,2,2,1,2, , , ,0,1, , ,1,2,3,2,2,2,2,1,1,1,3,2,3,3,1,1,1,1,2,3,2,1,2,2,3,3,2,1,1,4,9,2,4,2,1,5,1,1,1,4,3,1,1,1,2,2,2,1,1, ,1,1,1,9,2,1,1,3,0.33415525035979093
106960,12/15/2022 16:48:09,12/15/2022 17:12:54,1,1,2,3,2,2,1,2,1,5,2,9,1,1,1,9,0,0,0,1,0,0,1,2,1,2,2,1,1,3,3,1,2,10, , ,1, , , ,0, , , ,0, , , , , , , , ,2,1,2,1,2,1,2, , , , ,2,2, , ,3,9,5,2, ,1,3,9,2,9,1,3,9,2,1,1,1,3,1,1, , ,1, , , ,0,2,2,2,2,1,9,9,9,9,2,9,2,2,9,2,9,2,2,2,3,1,9,9,2,2,2,2,1,2,3,2,4,2,2,3,2, ,1,1,1,1,1,1,2,2,2,2,2, ,2,4,1,3,4, ,2,2,1.0267465626873236
107023,12/15/2022 21:11:48,12/16/2022 17:41:28,1,1,1,3,2,2,1,2,3,5,9,9,9,9,4,9,0,0,0,0,0,0,0,3,2,1,1,3,1,3,1,1,2, , , ,0, , , ,0, , , ,0,3,9,2,1,3,9,3,2, , , , , , , ,3,9,3,9, , ,3,9, , ,1,2,11,1,2,2,1,1,1,3,1,1,9,9,9,9,1,99, , ,99, , , ,0,1,2,3,9,9,9,9,9,9,2,3,2,3,2,2,2,2,1,2,3,2,9,2,3,3,3,2,1,3,5,2,3,2,1,5,2, ,1,2,2,1,1,6,1,1,1,1,2, ,2,3,1,3,2,2,1,2,0.1852547631340714
107612,12/13/2022 19:46:54,12/15/2022 21:46:27,2,1,2,4,1,2,2,3,2,99,1,99,3,2,1,2,1,0,1,0,0,1,3,4,3,2,1,2,2,3,2,1,4, , , ,0,90, , ,1, , , ,0, , , , , , , , ,2,3,4,2,3,3,4, , , , ,2,1, , ,1,1,5,2, ,1,2,1,9,2,9,3,2,2,3,1,3,3,2, , , ,0,1, , ,1,1,2,3,1,1,1,2,9,1,4,3,4,4,4,4,1,9,1,1,1,1,2,1,4,1,4,2,1,3,7,2,4,2,2,3,2, ,1,2,2,1,1,2,1,99,1,2,2, ,2,9,1,8,99,4,2,2,0.7770553726513703
